year,aoc_id,kitt_uid
2020,151323,449
2020,1095582,4233
2020,1222761,6788
2020,1258899,6855
2020,1259034,6864
2020,1259062,
2020,1259379,6859
2020,1266861,3743
2020,1266916,6308
2020,1267074,
2020,1267450,
2020,1276674,8322
2020,1276836,9332
2020,1282141,6885
2020,1283809,9604
2020,1289187,9221
2020,1289409,
2020,1291741,
2020,1292231,
2020,1301345,
2020,1304972,
2020,1330508,10005
2020,1331786,9224
2020,1349046,122
2021,151323,449
2021,162708,680
2021,216341,2087
2021,279547,763
2021,317571,12958
2021,405621,506
2021,428264,2805
2021,455177,917
2021,508132,1925
2021,625320,13258
2021,680709,5083
2021,683367,4161
2021,691960,4853
2021,693491,6021
2021,731156,4826
2021,771142,654
2021,792816,5964
2021,806081,6067
2021,808159,2660
2021,814889,4847
2021,817155,7126
2021,820815,2419
2021,831576,4552
2021,838180,5400
2021,864054,5120
2021,902058,12736
2021,956124,9260
2021,982206,4825
2021,994756,8755
2021,995672,9019
2021,1009078,11220
2021,1039707,9691
2021,1071232,9693
2021,1073739,6010
2021,1118769,9566
2021,1136287,5391
2021,1139883,3121
2021,1161861,10887
2021,1165822,4558
2021,1195812,8768
2021,1208101,2154
2021,1215163,2755
2021,1222761,6788
2021,1227111,12480
2021,1238535,5354
2021,1258899,6855
2021,1259034,6864
2021,1259379,6859
2021,1265099,13662
2021,1266861,3743
2021,1275768,8286
2021,1276674,8322
2021,1276836,9332
2021,1282141,6885
2021,1283809,9604
2021,1289187,9221
2021,1290407,9369
2021,1303451,10010
2021,1330508,10005
2021,1330684,6795
2021,1331786,9224
2021,1335861,684
2021,1344699,5786
2021,1349046,122
2021,1357851,7665
2021,1386127,12540
2021,1450694,13216
2021,1460826,10359
2021,1470363,13556
2021,1471723,12254
2021,1478612,5005
2021,1495948,5134
2021,1498030,8283
2021,1498112,7857
2021,1502702,13415
2021,1502720,13475
2021,1502724,13078
2021,1502804,5966
2021,1502846,12583
2021,1502955,12428
2021,1502983,7116
2021,1503022,10923
2021,1503055,9141
2021,1503258,10419
2021,1503526,13403
2021,1503533,8373
2021,1503537,13376
2021,1503547,12301
2021,1503553,13359
2021,1503557,12252
2021,1503559,536
2021,1503560,1549
2021,1503563,8915
2021,1503565,10518
2021,1503595,2924
2021,1503598,9852
2021,1503601,6121
2021,1503618,11125
2021,1503651,13779
2021,1503678,5907
2021,1503710,6083
2021,1503732,9423
2021,1503846,11141
2021,1503917,4862
2021,1503950,12898
2021,1503989,12064
2021,1504009,7618
2021,1504066,11148
2021,1504074,13906
2021,1504103,12549
2021,1504165,13659
2021,1504232,5072
2021,1504267,10318
2021,1504301,2531
2021,1504341,4118
2021,1504344,10971
2021,1504378,3429
2021,1504388,6305
2021,1504413,13193
2021,1504426,2907
2021,1504457,1079
2021,1504484,11848
2021,1504496,10313
2021,1504512,1044
2021,1504518,11139
2021,1504520,11225
2021,1504563,13122
2021,1504586,3422
2021,1504598,4071
2021,1504646,1229
2021,1504691,14043
2021,1504698,6971
2021,1504700,3980
2021,1504702,12293
2021,1504704,9344
2021,1504716,12183
2021,1504723,646
2021,1504746,10134
2021,1504767,12306
2021,1504814,13121
2021,1504820,14086
2021,1504877,13084
2021,1504968,12952
2021,1504977,6092
2021,1504993,10180
2021,1504996,1245
2021,1505003,7928
2021,1505061,11052
2021,1505092,11053
2021,1505096,10456
2021,1505107,10469
2021,1505170,14040
2021,1505270,2210
2021,1505313,10728
2021,1505371,9564
2021,1505376,9505
2021,1505629,12586
2021,1505754,10876
2021,1505762,6888
2021,1505844,13051
2021,1505887,11105
2021,1506046,10969
2021,1506179,13169
2021,1506202,8502
2021,1506214,13784
2021,1506258,4910
2021,1506317,12402
2021,1506381,13351
2021,1506417,12060
2021,1506444,9312
2021,1506578,11111
2021,1508103,13773
2021,1508179,8529
2021,1509400,6761
2021,1509449,9810
2021,1509472,13117
2021,1509650,12223
2021,1510384,9431
2021,1510629,5038
2021,1510662,13027
2021,1510670,10627
2021,1510676,10624
2021,1510737,9026
2021,1510970,13792
2021,1510992,13069
2021,1511046,6005
2021,1511261,10290
2021,1511309,9574
2021,1511559,2460
2021,1511671,4634
2021,1511996,9328
2021,1512053,662
2021,1512439,13918
2021,1512530,13752
2021,1512680,12311
2021,1512976,11833
2021,1513004,12910
2021,1513711,11470
2021,1513919,4875
2021,1513944,13293
2021,1514635,12444
2021,1514717,6868
2021,1514829,9988
2021,1515194,10316
2021,1515262,2304
2021,1515267,1191
2021,1515338,171
2021,1515439,8225
2021,1515509,7005
2021,1515709,13701
2021,1516219,10734
